,Keywords,Search Volume,Competing Products,value_score
0,chicken shredder,11.855219752311516,-0.29693785395049205,18.28461370668971
1,chicken shredder tool twist,1.3699346678261983,-0.30542166315052444,3.412048061527429
2,wedding registry items,0.3442673013694476,-0.286245242355185,1.8833742079774602
3,mini chopper,0.14702105330029064,-0.07219221023129124,1.2362701261499747
4,chicken shredder tool,0.09268975143693005,-0.30045185776115635,1.5619936434108315
5,chicken accessories,0.0734638197389051,1.1828091507202434,0.49178088674619275
6,chicken breast shredder,-0.02798085741176578,-0.3059738637493431,1.4005512066726784
7,processor,-0.02811209244042124,-0.07219221023129124,1.0475099673412516
8,chicken shredder amazon,-0.056524476144328414,-0.3080320659813036,1.3634671167149484
9,mini blender food processor,-0.06505475300693334,-0.2844882404498528,1.3066804766156193
10,chicken grinder,-0.06879495132361396,-0.2729924279835368,1.2808739338072517
11,shredded chicken tool,-0.07981869373067263,-0.300150657434528,1.3148277069121388
12,choper,-0.08296833441840368,-0.308333266307932,1.3258287856155035
13,cluckmaster chicken shredder,-0.08362450956168098,-0.32319248242159815,1.3539676593975856
14,chicken shredder large chicken breast shredder tool,-0.08382136210466418,-0.32319248242159815,1.3536768048519867
15,shredder chicken,-0.08441191973361374,-0.2991968564002048,1.3064839800279884
16,garlic blender,-0.08447753724794148,-0.2729924279835368,1.259302513470006
17,top selling items on amazon,-0.08447753724794148,1.1828091507202434,0.41942396221399897
18,amazon chicken shredder,-0.08493685984823558,-0.3073794652736088,1.3211608583237366
19,small chopper mini,-0.08506809487689104,-0.07219221023129124,0.9861222499017717
20,shredder for chicken,-0.08546179996285742,-0.2971888542226824,1.3012573940125156
21,black and decker chopper,-0.086052357591807,-0.3098894679955119,1.3243496512849182
22,food blender small,-0.08618359262046246,3.6928118726233126,0.19472683588926995
23,chicken mincer shredder,-0.08703662030672295,-0.32319248242159815,1.3489261806072044
24,salsa blender,-0.08769279545000026,-0.12239226466935263,1.0395387002899181
25,shred chicken tool,-0.08788964799298345,-0.2971888542226824,1.2978029126134751
26,small veggie chopper,-0.08880829319357167,-0.17259231910741402,1.1012608751993436
27,toastmaster mini chopper,-0.08913638076521033,-0.3187748776310488,1.3370963420539654
