keyword,search_volume,competing_products
10 inch portable fan,129.0,623
12 inch clip on fan,147.0,177
12 inch desk fan,241.0,516
12 inch fans electric 3 speed,225.0,573
12 portable fan,295.0,10000
6 in fan,78.0,20000
amazon mini fan,287.0,10000
arctic wind fan,134.0,175
b001r1rxug,92.0,1
baby safe fan,202.0,415
best fans for cooling bedroom,1737.0,6000
black amazon,65.0,10000
brushless fan,380.0,7000
cheap fan,735.0,100000
cheap fans,375.0,528
child safe fan,203.0,2000
climate keeper fan,68.0,679
corded fan,187.0,20000
cornado,0.0,53
desk fan,85704.0,40000
desk fans small,166.0,30000
duracraft fan,284.0,136
easy home fan,176.0,100000
fam for dorm,161.0,134
fan 12”,183.0,100000
fan 660,290.0,96
fan bathroom,286.0,30000
fan bedside,195.0,3000
fan deals,125.0,640
fan for white noise,218.0,10000
fan noise,1511.0,60000
fan office,181.0,100000
fans',277.0,100000
fan same day delivery,299.0,1000
fans for bathroom,157.0,30000
fans for office,239.0,100000
fan small,1307.0,100000
fans that blow cold air portable,395.0,3000
fan under 20,104.0,3000
fan white noise,360.0,50000
fan with long cord,182.0,10000
fan xing,232.0,253
grow room fan,254.0,609
high performance fan,290.0,272
honey well,163.0,536
honeywell 11 fan,,0
household fan,137.0,20000
intertek fan,341.0,376
kid safe fan,92.0,1000
little fan,2170.0,100000
little fans,510.0,100000
night stand fan,864.0,1000
on fan electric,260.0,80000
outlet fan plug in,201.0,463
polar wind fan,174.0,179
portable fan electric,204.0,10000
portable fan plug in,133.0,1000
room circulation fan,241.0,7000
rv fan,2207.0,10000
small fan desk,282.0,40000
small fan electric white noise,136.0,10000
small fan for desk,3465.0,40000
small fan with plug,194.0,20000
small loud fan for sleeping,158.0,2000
small personal fans,201.0,40000
spot fan,0.0,1000
strong cooling fan,159.0,595
table fan climate keeper,207.0,117
torpedo fan,153.0,122
ventiladores pequeños,331.0,10000
ventilador pequeño portatil,116.0,5000
vernado,272.0,45
vonado fans,162.0,119
vornado 660,1221.0,107
vornado 660 fan,209.0,102
vornado 660 large air circulator,250.0,111
vornado 660 large air circulator fan,267.0,113
vornado 660 large whole room air circulator fan,196.0,119
vornado 733,30.0,62
vornado fan 660,93.0,104
vornado fan vornado 660 large air circulator,59.0,96
vornado large,207.0,283
vornado large fan,88.0,307
white noise fan,1744.0,40000
小风扇,452.0,641
風扇,234.0,143
table & desk fan,234.0,10000
table fan,12837.0,30000
table fan quiet,224.0,4000
table fans,1752.0,30000
table fan small,40.0,20000
table top fan,2313.0,7000
tabletop fan,3923.0,8000
abanico de mesa,361.0,765
table top fan for desk,128.0,1000
tabletop fans,281.0,9000
ventilador de mesa,461.0,4000
ventilador de mesa pequeño,132.0,1000
ventiladores de mesa,248.0,4000
ventilador pequeño,735.0,10000
tabletop fan for bedroom,447.0,1000
abanicos de mesa,88.0,737
amazon small fan,55.0,100000
amazon small fans,181.0,100000
bedroom desk fan,250.0,8000
bedroom table fan,86.0,7000
bedside fan,4463.0,3000
bedside fan for sleeping,393.0,916
bedside fans,331.0,3000
bedside table fan,413.0,2000
black desk fan,351.0,8000
black small fan,0.0,100000
counter fan,444.0,1000
counter fan for kitchen,219.0,649
counter top fan,216.0,708
countertop fan,393.0,583
desk electric fans,322.0,6000
desk fan electric,49.0,6000
desk fan for bedroom,243.0,8000
desk fan for dorm,241.0,1000
desk fans,4677.0,40000
desk fans for bedroom,2044.0,8000
desk fans for bedroom small,122.0,4000
desk room fans,268.0,10000
desk shop fans,383.0,1000
desk & table fan,232.0,10000
desk & table small fan,138.0,10000
desk top fan,1676.0,10000
desk top fans small quiet electric,293.0,978
dorm desk fan,108.0,1000
dorm room essentials fan,186.0,608
electric desk fan,268.0,6000
electric table fan,54.0,5000
fan for bedroom small,125.0,10000
fan for nightstand,437.0,1000
fan for small bedroom,147.0,10000
fan for table,293.0,30000
fan overnight delivery,204.0,226
fan plug in,236.0,8000
fans for small rooms,207.0,100000
fan small room,224.0,100000
fan table,412.0,30000
fan tabletop,259.0,8000
kitchen counter fan,274.0,734
little fans for bedroom,174.0,70000
mini fan for bedroom,195.0,4000
mini fan for room,360.0,671
mini room fan,292.0,9000
nightstand fan for bedroom,611.0,1000
side table fan,272.0,1000
side table fan for bedroom,92.0,784
small bedroom fan,805.0,10000
small bedroom fan quiet,85.0,7000
small bedside fan for sleeping,285.0,721
small bedside fans,264.0,1000
small black fan,376.0,100000
small circulating fan,138.0,3000
small counter fan,194.0,1000
small electric fans for bedroom,98.0,5000
small fam for bedroom,216.0,483
small fan bedroom,268.0,10000
small fan dorm,301.0,20000
small fan for bedroom,1224.0,10000
small fan for dorm,381.0,20000
small fan for dorm room,234.0,20000
small fan for kitchen,238.0,100000
small fan for room,275.0,638
small fans amazon,257.0,100000
small fans for bedroom,10039.0,10000
small fans for bedroom quiet,278.0,7000
small fans for rooms,0.0,100000
small fans portable plug in electric,180.0,1000
small house fan,30.0,70000
small indoor fan,98.0,60000
small kitchen fan,378.0,100000
small loud fan,231.0,10000
small quiet fan for bedroom,281.0,10000
small quiet fans for bedroom,381.0,7000
small room fan,1300.0,100000
small room fans,301.0,100000
small room fans for bedroom,410.0,10000
small round fan,177.0,70000
small table fan for bedroom,160.0,30000
small table fans,234.0,30000
small table fans for bedroom,400.0,4000
small table fans for bedroom quiet,250.0,7000
