"Kesdjkfhsjkdfhsdkfds","Amazon Choice","Keyword Sales","Search Volume","Competing Products","Organic Rank (avg)"
"collage phone case","other",1,865,11,1
"beachy phone case","analyzed",1,678,10,1
"xo poppy phone case","other",1,678,10,2
"trendy phone case","other",1,1744,26,3
"phone case aesthetic","other",1,1300,26,4
"phone cases cute","other",1,1282,26,4
"ocean phone case","other",1,678,10,4
"cute phone cases","other",81,15150,42,5
"fun phone cases","other",1,543,9,5
"cute phone cases iphone 14","other",23,2841,28,6
"cute phone case","other",6,6974,33,7
"aesthetic phone case","other",17,3308,30,7
"cute cases","other",1,735,11,7
"trendy phone cases","other",1,612,10,7
"phone case iphone 14 cute","other",10,1152,26,8
"phone case cute","other",31,4136,29,9
"rode phone case","other",1,1679,26,9
"chikawa phone case","other",4,735,11,9
